percent,state,county
2.0,41,067
0.2,41,049
0.7,41,007
0.5,41,015
0.0,41,021
0.2,41,037
0.7,41,061
21.4,42,045
6.4,42,119
3.2,42,127
19.2,42,043
30.0,42,053
14.4,42,089
42.3,42,101
2.4,42,129
1.6,42,013
3.3,42,021
5.2,42,011
5.5,42,061
3.7,42,073
0.8,42,087
3.8,42,041
12.9,42,003
1.0,42,109
0.7,42,115
1.8,42,039
7.3,42,049
2.1,42,057
1.0,42,067
3.0,42,107
0.9,42,131
1.4,42,001
0.9,42,005
1.6,42,035
2.0,42,025
4.0,42,027
2.7,42,097
5.5,42,095
0.1,42,023
0.8,42,121
5.9,42,007
4.0,42,017
2.8,42,069
2.5,42,083
3.9,42,051
9.1,42,091
3.3,42,059
2.4,42,075
4.6,42,079
1.8,42,093
1.8,42,037
0.9,42,019
0.5,42,065
4.3,42,071
0.9,42,099
0.4,42,105
0.7,42,117
9.6,44,007
1.4,44,001
3.7,44,005
24.7,45,003
31.6,45,071
36.5,45,037
48.8,45,027
38.4,45,029
47.0,45,085
14.6,45,063
45.7,45,011
23.8,45,015
40.7,45,031
31.3,45,043
19.1,45,091
15.8,45,007
32.3,45,025
32.0,45,047
13.7,45,051
23.9,45,055
61.6,45,075
27.4,45,001
61.1,45,009
41.4,45,017
48.1,45,033
46.6,45,079
56.3,45,039
53.4,45,049
18.1,45,045
21.4,45,057
25.4,45,035
42.5,45,041
24.7,45,059
46.7,45,065
6.6,45,077
31.4,45,087
64.7,45,089
1.1,46,003
0.2,46,051
0.0,46,123
0.1,46,071
5.4,46,099
0.4,46,033
1.2,46,069
0.2,46,025
0.0,46,049
0.0,46,077
4.8,46,129
1.2,46,027
0.6,46,037
0.0,46,043
2.1,46,063
0.0,46,089
0.6,46,109
0.0,46,119
1.2,46,083
0.4,46,079
0.8,46,081
0.6,46,029
0.7,46,019
0.5,46,031
0.1,46,045
0.0,46,021
0.1,46,007
0.0,46,055
0.0,46,075
1.9,46,093
0.3,46,125
2.2,46,013
0.0,46,061
0.8,46,087
0.0,46,095
0.0,46,105
1.1,46,103
0.8,46,127
0.9,46,097
0.0,46,137
0.0,46,039
1.5,46,009
0.0,46,015
0.3,46,047
0.0,46,053
0.1,46,102
11.6,47,119
0.4,47,173
20.0,47,125
4.2,47,043
5.1,47,129
0.7,47,061
2.1,47,123
8.5,47,079
2.1,47,029
13.2,47,033
1.5,47,041
29.1,47,095
8.8,47,093
1.6,47,101
3.8,47,107
7.4,47,117
10.1,47,131
2.2,47,143
0.5,47,151
18.1,47,167
3.3,47,001
13.0,47,045
0.2,47,049
17.7,47,053
19.4,47,065
1.0,47,105
14.3,47,149
2.6,47,159
7.0,47,189
2.0,47,163
1.5,47,177
4.2,47,179
3.2,47,005
0.3,47,013
1.7,47,015
27.4,47,047
0.6,47,067
3.3,47,091
7.0,47,103
1.3,47,127
5.2,47,051
2.6,47,009
1.5,47,019
0.4,47,057
33.5,47,097
1.7,47,099
2.1,47,115
0.6,47,133
7.1,47,165
9.5,47,169
4.3,47,187
3.4,47,027
2.1,47,059
53.5,47,157
0.2,47,175
7.8,47,077
5.0,47,081
1.8,47,089
0.2,47,153
0.8,47,155
10.3,47,017
10.4,47,023
27.4,47,037
0.7,47,087
3.5,47,135
2.4,47,145
2.0,47,121
4.3,47,063
50.6,47,075
1.7,48,143
13.7,48,039
1.6,48,345
5.1,48,129
0.3,48,013
3.0,48,083
5.0,48,353
1.6,48,229
2.6,48,325
4.9,48,475
6.5,48,213
21.1,48,203
0.7,48,327
12.4,48,277
6.4,48,149
6.3,48,491
10.3,48,373
5.9,48,391
6.4,48,055
9.7,48,487
0.7,48,383
4.8,48,189
18.3,48,419
3.1,48,399
10.5,48,407
4.3,48,451
6.0,48,469
24.6,48,473
10.3,48,485
1.5,48,493
3.4,48,219
0.5,48,323
6.6,48,329
2.9,48,297
0.1,48,299
6.2,48,147
8.0,48,255
10.5,48,041
17.4,48,067
2.2,48,165
4.4,48,179
15.0,48,313
4.8,48,237
0.8,48,259
1.6,48,035
7.6,48,029
0.8,48,017
3.3,48,023
0.5,48,061
9.5,48,121
16.7,48,477
23.7,48,343
2.4,48,429
19.0,48,201
2.0,48,003
0.1,48,171
6.7,48,177
1.5,48,305
2.0,48,503
0.1,48,505
0.9,48,221
7.0,48,223
1.4,48,357
0.0,48,269
6.5,48,275
14.7,48,309
13.6,48,073
2.2,48,095
7.5,48,119
0.0,48,137
3.7,48,133
14.8,48,253
3.3,48,389
6.2,48,403
0.4,48,421
5.5,48,437
8.0,48,231
16.6,48,063
0.4,48,195
7.9,48,187
0.6,48,077
6.7,48,217
17.8,48,347
1.1,48,369
0.0,48,377
1.6,48,465
4.6,48,135
0.0,48,173
15.4,48,185
9.5,48,085
14.8,48,005
15.0,48,101
4.0,48,209
0.5,48,295
9.8,48,321
3.7,48,371
6.1,48,397
17.2,48,401
1.0,48,447
23.0,48,471
5.4,48,499
1.5,48,007
7.6,48,075
0.6,48,081
14.1,48,099
0.9,48,211
4.0,48,341
13.0,48,349
21.1,48,405
0.2,48,417
0.1,48,427
6.8,48,461
7.9,48,021
8.1,48,191
3.9,48,159
4.4,48,163
4.4,48,281
0.0,48,319
3.1,48,125
16.2,48,439
21.0,48,001
6.6,48,239
9.8,48,331
1.3,48,093
0.7,48,047
0.3,19,029
2.3,19,035
2.6,19,047
5.9,19,057
2.0,19,065
0.2,19,085
1.1,19,109
0.9,19,129
0.3,19,133
2.3,19,139
1.3,19,143
6.6,19,153
4.7,19,187
1.9,19,169
3.5,19,193
9.1,19,013
0.6,19,075
0.5,19,097
2.5,19,105
2.6,19,111
0.1,19,131
0.5,19,181
0.6,19,161
0.7,19,149
0.7,19,041
2.7,19,045
0.2,20,183
0.0,20,067
0.3,20,095
0.6,20,131
0.7,20,149
0.6,20,021
2.4,20,015
0.7,20,105
1.1,20,191
0.1,20,195
0.6,20,205
1.1,20,207
0.7,20,135
0.4,20,141
3.2,20,011
3.7,20,075
1.2,20,097
8.3,20,177
0.7,20,181
1.8,20,193
5.1,20,125
0.1,20,127
0.4,20,153
0.9,20,163
0.6,20,025
4.6,20,053
0.2,20,077
1.5,20,167
2.3,20,111
5.2,20,145
1.5,20,001
0.0,20,033
0.2,20,049
0.6,20,063
1.9,20,079
0.0,20,083
1.8,20,093
0.6,20,185
1.1,20,113
0.6,20,139
0.7,20,071
0.6,20,031
2.2,20,037
1.4,20,051
0.3,20,073
4.2,20,099
0.6,20,107
9.0,20,173
5.2,20,175
0.3,20,157
3.9,20,065
4.7,20,091
4.2,20,045
0.4,20,179
1.4,20,121
0.8,20,069
0.3,20,199
0.7,20,189
0.3,20,201
0.6,20,019
0.9,20,129
2.8,20,155
1.8,20,029
5.5,20,043
0.0,20,081
0.1,20,101
0.0,20,171
1.2,20,133
1.3,20,013
0.7,20,147
6.3,20,161
0.1,20,039
0.7,20,087
0.4,21,031
1.5,21,061
1.9,21,097
0.0,21,023
4.5,21,143
3.4,21,063
21.5,21,111
3.6,21,123
5.4,21,161
3.9,21,167
0.7,21,201
0.8,21,207
5.2,21,229
4.2,21,007
3.8,21,009
1.3,21,087
